mpg,displacement,horsepower,weight,acceleration,cylinders_4,cylinders_5,cylinders_6,cylinders_8,origin_2,origin_3,model_year_71,model_year_72,model_year_73,model_year_74,model_year_75,model_year_76,model_year_77,model_year_78,model_year_79,model_year_80,model_year_81,model_year_82
18.0,307,130,3504,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,350,165,3693,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,318,150,3436,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,304,150,3433,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,302,140,3449,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,429,198,4341,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,454,220,4354,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,440,215,4312,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,455,225,4425,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,390,190,3850,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,383,170,3563,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,340,160,3609,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,400,150,3761,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,455,225,3086,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,113,95,2372,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22.0,198,95,2833,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,199,97,2774,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,200,85,2587,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,97,88,2130,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26.0,97,46,1835,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,110,87,2672,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,107,90,2430,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,104,95,2375,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,121,113,2234,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,199,90,2648,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,360,215,4615,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,307,200,4376,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0,318,210,4382,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
